Gender,Customer_Type,Age,Subscription Plan,Price,Ratings,Time,Buys,satisfaction
0,1,13,2,460,3,25,18,0
0,0,25,3,235,3,1,6,0
1,1,26,3,1142,2,0,0,1
1,1,25,3,562,2,11,9,0
0,1,61,3,214,3,0,0,1
1,1,26,1,1180,3,0,0,0
0,1,47,1,1276,2,9,23,0
1,1,52,3,2035,4,4,0,1
1,1,41,3,853,1,0,0,0
0,0,20,1,1061,3,0,0,0
1,0,24,1,1182,4,0,0,0
1,1,12,2,308,2,0,0,0
0,1,53,1,834,1,28,8,0
0,1,33,1,946,4,0,0,1
1,1,26,1,453,3,43,35,0
0,0,13,1,486,2,1,0,0
1,1,26,3,2123,3,49,51,1
0,1,41,3,2075,4,0,10,1
1,1,45,3,2486,4,7,5,1
0,1,38,1,460,2,17,18,0
0,1,9,1,1174,2,0,4,0
1,1,17,1,208,3,0,0,0
1,1,43,1,752,3,52,29,0
1,1,58,1,2139,4,0,0,0
1,0,23,1,452,5,54,44,1
0,1,57,1,719,4,27,28,0
1,1,33,3,1561,1,0,0,1
1,1,49,2,315,4,0,8,1
1,1,36,3,3347,3,18,12,0
0,1,22,1,2342,3,19,0,0
1,1,31,3,819,4,0,0,1
1,0,15,1,1043,2,3,0,0
1,1,35,3,2611,4,109,120,1
1,1,67,1,1192,4,18,24,0
0,0,37,3,1182,3,9,0,0
1,1,40,1,349,1,0,1,0
1,0,34,3,883,3,0,0,0
0,1,40,2,550,4,23,20,0
1,1,47,1,302,4,23,31,1
0,0,41,3,354,1,0,0,0
0,1,39,3,1734,4,0,0,1
1,0,25,3,1452,3,9,23,0
0,1,41,3,296,0,0,0,1
1,1,38,3,2882,3,0,0,1
1,1,50,3,460,1,1,15,1
0,1,29,3,529,1,4,0,1
1,1,22,3,349,2,0,0,0
1,1,13,3,1522,1,0,0,0
0,1,54,3,612,3,8,0,1
0,1,21,1,1454,2,0,0,0
0,1,28,1,731,2,14,8,0
0,1,27,3,2076,3,0,1,1
1,1,69,1,309,5,0,0,1
0,1,35,1,775,2,1,0,0
1,1,60,1,861,2,10,10,0
1,1,45,3,3334,2,51,48,1
1,1,57,3,2496,0,0,5,1
0,1,40,3,602,5,0,0,1
1,0,38,3,308,3,39,26,0
0,0,23,1,446,2,4,0,0
0,0,39,3,216,2,0,0,0
1,1,52,3,3475,2,0,0,1
0,0,25,1,646,2,13,1,0
1,1,48,3,2501,3,0,0,1
1,1,59,3,2227,5,30,15,1
0,1,25,3,1426,3,4,0,1
0,1,38,1,190,2,0,0,0
0,1,46,3,1532,2,0,0,1
0,1,50,1,308,2,18,12,0
1,1,38,2,157,4,0,0,1
1,1,53,3,1506,4,0,0,1
0,1,30,2,205,3,64,49,0
0,0,39,3,895,2,0,2,0
0,1,66,2,516,1,0,37,0
0,1,45,1,909,3,0,0,0
1,0,25,3,1435,5,1,1,1
0,1,52,3,1190,2,0,6,0
0,1,64,1,1259,4,20,5,1
1,0,50,1,216,4,0,0,0
1,0,41,3,1670,2,0,0,0
0,1,26,3,3960,1,45,48,1
1,0,25,1,817,4,0,0,0
1,0,44,3,1670,3,0,8,0
1,0,21,3,861,4,0,0,1
0,1,47,3,406,2,44,50,1
0,1,31,2,404,4,17,3,1
1,1,57,2,500,3,0,0,0
0,1,44,1,689,3,0,0,0
0,1,45,3,3100,3,0,0,1
0,0,13,1,525,2,0,0,0
0,1,60,1,931,0,0,0,1
1,0,41,3,304,5,31,19,1
0,1,30,3,1896,4,81,72,0
1,1,51,2,261,5,0,0,1
1,1,61,1,347,2,0,11,1
1,1,32,1,1042,4,35,34,1
1,1,39,1,1773,4,14,18,0
0,1,19,3,342,3,0,0,0
1,1,15,2,297,1,67,62,0
1,0,42,3,883,3,22,27,1
1,1,16,1,332,2,40,52,0
0,1,19,3,2388,5,0,0,1
1,1,29,1,748,2,0,0,0
1,0,27,2,1080,3,0,0,0
0,0,22,3,231,5,0,0,1
1,1,15,1,551,3,3,0,0
0,0,11,1,972,1,0,0,0
1,1,34,1,265,4,0,23,0
1,0,26,1,488,2,0,0,0
1,1,26,1,1144,3,0,0,0
0,1,53,3,2332,5,0,3,1
0,1,36,3,3024,4,30,13,0
0,1,32,3,1750,1,0,0,0
0,1,20,1,483,2,91,82,0
1,1,35,3,2128,2,0,0,1
0,1,15,1,235,2,1,10,0
0,1,52,1,689,2,0,0,0
0,1,45,3,1852,1,0,0,1
1,0,24,1,372,4,21,23,0
1,1,46,3,3705,4,4,0,0
0,0,26,1,416,3,0,9,0
0,1,28,1,337,4,3,0,0
0,1,11,1,335,1,0,0,0
0,1,45,3,1400,5,4,9,1
0,1,62,1,2521,4,7,30,0
1,1,34,3,374,3,0,0,1
0,1,51,3,308,2,17,8,1
1,1,58,2,575,1,14,16,0
0,1,22,1,618,3,0,0,0
0,1,8,1,1304,4,0,0,1
0,0,26,3,351,4,4,11,1
1,1,22,1,549,4,15,3,0
1,1,21,3,3510,3,0,0,0
0,1,31,3,1620,3,0,0,0
1,1,44,1,326,2,0,0,0
0,1,27,3,588,2,0,0,1
1,1,47,3,1020,3,0,0,1
0,1,24,3,2903,3,0,0,0
0,1,67,3,2659,1,0,0,0
0,1,32,3,3037,2,0,0,1
1,1,58,1,2475,4,29,10,1
0,1,12,1,978,4,0,0,0
1,1,56,3,2568,3,0,0,0
1,1,58,3,371,3,0,0,0
0,0,24,1,791,3,39,6,0
0,1,68,1,480,3,7,6,0
0,1,46,3,1786,1,1,7,1
0,1,43,3,1849,2,0,7,1
1,1,55,3,3634,0,0,0,1
1,1,54,3,844,4,0,0,0
1,1,42,3,3094,5,0,10,1
1,1,47,3,3465,1,13,15,0
1,0,29,3,1035,1,0,0,0
1,1,36,1,237,2,0,0,0
1,1,50,3,3175,4,0,0,1
1,1,31,1,760,4,17,27,0
0,1,13,1,853,1,105,122,0
0,0,24,1,446,3,0,0,0
1,1,60,3,1071,2,0,0,1
1,1,42,1,728,2,0,3,0
1,1,57,3,2585,2,0,0,1
1,1,42,3,707,2,27,11,1
0,0,20,1,861,0,0,0,1
1,1,51,1,719,3,19,0,0
0,1,45,3,1790,2,0,0,1
1,1,26,2,680,5,12,27,1
0,0,26,1,888,2,51,30,0
1,1,24,1,1660,2,0,2,0
0,1,49,1,578,5,162,179,1
1,1,17,1,606,5,15,15,1
1,1,39,3,1487,3,7,0,1
1,1,49,3,317,0,0,0,1
1,1,48,1,844,3,0,1,0
0,1,52,3,3747,5,24,20,1
1,1,25,3,2748,4,0,0,1
1,1,16,3,1503,3,0,0,0
0,1,58,3,1717,1,0,0,1
0,0,8,3,1117,4,0,7,0
0,1,42,3,1372,3,141,125,1
1,1,52,3,2768,4,0,0,0
1,1,47,1,370,5,0,0,1
1,1,69,1,1546,1,1,26,0
1,1,47,1,1023,2,0,0,0
1,1,41,3,3636,1,0,0,1
1,1,40,1,1325,4,0,9,0
1,1,56,1,2556,1,0,0,0
0,1,41,3,1052,2,6,0,1
1,1,40,1,773,3,15,26,0
0,1,12,3,817,2,0,0,0
0,1,59,1,516,4,3,0,1
1,1,21,1,447,1,34,19,0
0,1,12,1,462,2,0,0,0
0,1,31,1,361,1,0,0,0
1,1,37,1,125,3,6,4,0
1,1,38,1,271,4,0,0,1
0,1,45,1,173,2,0,0,0
0,1,43,3,1950,3,0,0,1
1,1,52,1,719,1,0,17,0
1,1,57,3,153,3,0,0,0
1,1,13,3,337,2,0,18,0
1,1,45,3,3732,5,17,0,1
1,1,43,3,3854,5,0,0,1
0,1,53,1,977,2,20,17,0
0,1,23,3,3073,4,0,3,1
1,1,16,1,1379,2,2,0,0
0,1,23,1,631,2,0,8,0
0,1,45,1,666,2,0,0,0
1,1,46,3,2820,2,1,0,1
1,1,49,1,577,2,23,2,0
1,1,40,3,2808,4,7,2,0
1,1,19,3,2172,5,0,0,1
1,1,48,1,1192,4,0,0,0
1,1,64,3,1773,2,0,0,0
1,1,38,1,109,5,31,,1
0,1,23,1,1749,2,97,89,0
1,1,38,3,3753,2,0,0,1
0,1,41,1,214,1,16,34,0
0,1,29,1,1020,1,0,0,0
0,1,47,2,368,5,0,0,1
0,1,50,2,1448,2,20,4,0
1,1,18,1,1127,2,0,0,0
1,1,20,1,545,2,4,0,0
1,1,41,3,3238,2,0,0,1
1,1,12,1,2466,2,0,0,0
1,1,36,1,2715,2,0,0,0
0,1,49,3,337,3,10,0,1
1,1,55,1,1608,2,0,0,0
1,1,43,3,3004,3,0,0,0
1,0,49,3,980,2,11,6,0
1,0,35,1,1462,1,0,0,0
0,1,45,3,1521,1,0,0,1
1,1,28,3,862,5,9,5,1
0,1,60,3,1833,4,0,0,1
0,1,35,3,2398,2,0,9,0
1,0,38,3,349,3,29,28,0
0,1,48,3,1722,4,0,0,1
1,1,65,1,578,2,99,101,0
0,1,30,2,163,3,9,11,0
1,1,51,1,395,2,0,0,0
0,0,23,1,416,5,18,4,1
1,1,37,1,977,3,0,0,0
0,1,23,3,3095,5,9,0,1
0,1,32,3,738,4,0,3,0
0,1,67,1,719,3,24,14,0
0,1,65,3,226,1,37,20,0
1,1,48,3,1943,1,0,0,1
0,1,60,3,2371,4,66,61,1
1,1,31,3,551,3,53,48,0
0,1,22,2,493,4,19,6,1
0,0,27,1,925,2,4,3,0
1,1,19,1,405,2,0,0,0
1,0,26,1,1055,3,0,0,0
0,1,72,1,305,4,0,0,0
1,1,34,3,589,5,0,11,1
1,1,45,3,1587,2,0,0,1
0,1,51,3,3090,2,0,0,0
1,0,26,1,804,2,7,0,0
1,1,12,1,719,3,0,0,0
1,1,72,2,67,2,28,18,0
0,1,45,1,550,4,0,0,1
1,1,22,3,2809,2,36,28,1
1,1,53,1,552,4,0,0,0
1,0,33,3,356,3,12,0,0
1,1,46,3,119,4,13,32,0
0,1,54,3,1545,2,1,0,1
1,1,40,1,819,4,23,6,0
1,1,37,3,1801,2,0,0,0
1,1,35,3,1658,2,6,6,1
1,0,26,3,114,4,0,13,1
1,1,62,1,128,4,0,16,1
0,1,58,3,813,1,0,0,1
1,1,55,1,349,2,0,0,0
1,1,60,3,1508,3,15,15,0
1,1,15,1,89,3,0,0,0
0,1,67,1,157,4,45,33,0
0,1,43,3,2828,0,39,41,1
0,1,30,3,3131,1,7,0,1
1,1,42,1,718,5,0,0,1
0,1,40,3,1959,3,209,191,1
0,1,47,3,3496,2,0,2,1
0,1,38,3,2300,4,60,37,0
1,1,25,1,2845,3,0,1,0
0,0,26,1,406,3,149,138,0
0,1,66,1,580,2,26,13,0
1,1,69,1,735,1,12,4,0
1,1,22,3,1722,2,0,53,0
0,1,8,2,1201,2,24,14,0
1,0,37,3,372,5,11,0,1
1,1,69,1,1072,1,18,7,0
0,1,28,1,733,4,15,22,0
0,1,51,2,1075,2,5,0,0
1,1,46,1,2586,3,59,57,0
0,0,39,3,140,4,0,7,1
1,0,21,2,903,4,35,28,0
0,1,46,3,2423,4,1,0,1
1,1,36,3,3130,2,62,65,1
0,1,60,3,2198,3,23,4,1
0,1,23,2,602,2,21,44,0
0,1,52,1,685,4,0,0,1
0,1,36,1,1208,4,3,0,1
0,1,41,3,2789,3,10,0,1
0,1,45,3,3305,2,8,0,1
0,1,67,1,2342,3,0,0,0
1,1,45,3,3712,4,0,0,1
1,1,56,1,1431,3,91,76,0
1,0,62,1,255,3,113,107,0
1,1,30,3,3720,2,27,12,0
0,1,48,1,1107,4,0,0,1
1,1,32,3,2999,2,28,11,1
1,1,30,3,2438,0,38,28,1
1,0,40,3,156,1,0,0,0
0,1,42,3,3665,5,83,92,1
1,1,52,3,2917,5,15,32,1
0,1,50,3,1235,5,0,0,1
1,1,18,2,549,2,0,0,0
0,1,30,3,1500,3,0,0,1
1,0,26,1,190,3,0,0,0
0,0,37,3,468,4,0,0,1
0,1,64,1,261,1,0,0,0
0,0,21,3,255,5,0,0,1
1,1,52,3,1609,3,0,8,0
1,1,52,3,413,5,4,2,1
1,1,29,1,119,2,0,0,0
1,1,13,1,387,2,16,12,0
0,1,28,3,1087,1,0,0,1
0,1,13,1,323,2,15,7,0
0,1,16,1,282,2,8,16,0
0,1,58,3,1721,3,18,0,1
0,0,24,1,347,3,0,0,0
0,1,25,3,3465,2,0,0,0
0,1,34,1,948,2,0,0,0
1,1,44,3,1707,5,0,0,1
1,1,23,2,1372,3,0,0,0
0,0,20,3,369,5,0,0,1
0,1,8,1,552,4,0,11,0
1,1,26,1,1188,1,0,13,0
0,1,43,1,1005,4,0,1,0
1,1,72,3,1870,2,0,0,0
1,1,48,1,896,2,12,8,1
0,1,27,1,429,4,0,0,0
0,1,25,3,1796,4,176,164,0
0,0,26,1,842,1,38,28,0
0,0,16,3,1107,3,0,0,0
1,0,36,3,327,2,0,0,0
0,1,55,3,432,4,0,0,0
1,0,23,1,577,0,0,0,1
0,1,50,3,1877,2,0,0,0
1,1,45,3,1123,5,0,5,1
0,1,57,3,1749,1,19,5,1
1,1,50,3,2454,3,46,24,1
1,1,42,1,270,1,0,0,0
1,1,34,3,1825,2,13,0,1
1,0,17,2,191,1,39,34,0
0,1,45,3,679,4,0,6,1
1,1,59,3,812,2,0,3,1
0,1,39,1,1056,5,20,9,1
0,1,28,3,101,2,0,0,0
1,1,44,1,73,2,0,32,0
0,1,9,1,936,5,22,22,1
1,1,24,1,287,1,0,8,0
1,1,37,1,255,3,0,0,0
1,0,25,1,317,0,9,5,1
0,1,22,3,2027,2,7,2,1
0,1,55,3,936,3,0,0,1
0,1,53,1,432,4,0,5,1
1,1,46,3,888,3,0,0,1
0,1,62,1,1061,0,0,0,1
1,1,53,3,216,5,0,0,1
1,1,50,3,1814,3,0,0,1
0,1,57,3,2993,5,0,6,1
1,1,54,3,2632,3,0,0,1
1,1,42,3,199,1,0,0,1
0,1,17,1,802,2,0,5,0
1,1,53,3,581,1,1,0,1
0,1,49,3,1938,2,22,21,1
1,1,37,2,174,5,0,0,1
0,1,35,1,326,4,0,0,1
0,1,30,3,1821,1,5,7,0
1,1,16,1,1437,1,0,0,0
0,1,46,3,3995,4,0,0,1
